📅 시각               	| 🌡️ 내온     	| ❄️ 외온     	| 💧 습도   	| ☀️ 광량     	| 😷 CO2    	| 🧬 O2     	| 🌬️ 기압     	| 
2026-04-02 14:47:50   	| 18.75       	| 13.09       	| 52.76     	| 653.19      	| 0.0826    	| 4.86      	| 940.27      	| 
2026-04-02 14:47:50   	| 25.42       	| 13.21       	| 58.9      	| 713.12      	| 0.0807    	| 4.4       	| 947.92      	| 
2026-04-02 14:47:50   	| 25.17       	| 25.33       	| 56.58     	| 721.95      	| 0.0581    	| 4.02      	| 994.98      	| 
2026-04-02 14:47:50   	| 44.76       	| 2.86        	| 62.13     	| 633.52      	| 0         	| 5.86      	| 986.72      	| 
2026-04-02 14:47:50   	| 24.22       	| 4.0         	| 59.78     	| 489.09      	| 0.0791    	| 4.75      	| 1010.77     	| 
2026-04-02 16:32:01   	| 44.34       	| 18.41       	| 59.12     	| 710.39      	| 0         	| 5.3       	| 969.23      	| 
2026-04-02 16:32:01   	| 23.96       	| 1.68        	| 55.71     	| 654.75      	| 0.0529    	| 4.44      	| 967.97      	| 
2026-04-02 16:32:01   	| 28.77       	| 19.75       	| 56.2      	| 590.48      	| 0.0585    	| 6.42      	| 1047.61     	| 
2026-04-02 16:32:01   	| 26.54       	| 13.07       	| 53.93     	| 714.53      	| 0.0972    	| 5.3       	| 1033.19     	| 
2026-04-02 16:32:01   	| 19.38       	| 5.57        	| 58.28     	| 588.85      	| 10.7174   	| 4.74      	| 969.35      	| 
2026-04-02 16:41:13   	| 20.92       	| 32.2        	| 51.93     	| 666.28      	| 0.023     	| 4.92      	| 991.51      	| 
2026-04-02 16:41:13   	| 19.06       	| 9.96        	| 40.37     	| 627.36      	| 0.0325    	| 4.07      	| 1024.81     	| 
2026-04-02 16:41:13   	| 26.78       	| 7.36        	| 53.32     	| 549.85      	| 0.0306    	| 5.36      	| 1001.28     	| 
2026-04-02 16:41:13   	| 21.08       	| 32.17       	| 56.87     	| 645.18      	| 0.0281    	| 5.37      	| 1058.48     	| 
2026-04-02 16:41:13   	| 26.53       	| 16.67       	| 56.15     	| 691.02      	| 0         	| 6.72      	| 1020.94     	| 
2026-04-02 17:36:46   	| 42.96       	| 0.85        	| 59.48     	| 547.51      	| 0.0663    	| 6.85      	| 1022.72     	| 
2026-04-02 17:36:46   	| 24.67       	| 2.11        	| 51.58     	| 627.45      	| 0.0298    	| 4.88      	| 997.28      	| 
2026-04-02 17:36:46   	| 20.93       	| 13.06       	| 72.21     	| 536.34      	| 0.0274    	| 4.46      	| 1047.97     	| 
2026-04-02 17:36:46   	| 26.77       	| 5.41        	| 57.31     	| 619.58      	| 0.099     	| 6.28      	| 1003.49     	| 
2026-04-02 17:36:46   	| 34.2        	| 8.25        	| 53.32     	| 720.04      	| 0.0234    	| 4.23      	| 963.71      	| 
